Date,Arrivals,DayOfWeek,IsWeekend
2024-01-01,52,0,False
2024-01-02,49,1,False
2024-01-03,53,2,False
2024-01-04,58,3,False
2024-01-05,49,4,False
2024-01-06,39,5,True
2024-01-07,49,6,True
2024-01-08,55,0,False
2024-01-09,49,1,False
2024-01-10,54,2,False
2024-01-11,49,3,False
2024-01-12,49,4,False
2024-01-13,43,5,True
2024-01-14,32,6,True
2024-01-15,43,0,False
2024-01-16,79,1,False
2024-01-17,47,2,False
2024-01-18,54,3,False
2024-01-19,48,4,False
2024-01-20,36,5,True
2024-01-21,50,6,True
2024-01-22,52,0,False
2024-01-23,54,1,False
2024-01-24,46,2,False
2024-01-25,51,3,False
2024-01-26,54,4,False
2024-01-27,68,5,True
2024-01-28,46,6,True
2024-01-29,51,0,False
2024-01-30,53,1,False
2024-01-31,52,2,False
2024-02-01,94,3,False
2024-02-02,55,4,False
2024-02-03,40,5,True
2024-02-04,49,6,True
2024-02-05,49,0,False
2024-02-06,56,1,False
2024-02-07,46,2,False
2024-02-08,49,3,False
2024-02-09,57,4,False
2024-02-10,50,5,True
2024-02-11,47,6,True
2024-02-12,56,0,False
2024-02-13,55,1,False
2024-02-14,49,2,False
2024-02-15,53,3,False
2024-02-16,54,4,False
2024-02-17,52,5,True
2024-02-18,49,6,True
2024-02-19,48,0,False
2024-02-20,59,1,False
2024-02-21,55,2,False
2024-02-22,54,3,False
2024-02-23,61,4,False
2024-02-24,53,5,True
2024-02-25,52,6,True
2024-02-26,54,0,False
2024-02-27,56,1,False
2024-02-28,60,2,False
2024-02-29,63,3,False
2024-03-01,56,4,False
2024-03-02,47,5,True
2024-03-03,43,6,True
2024-03-04,52,0,False
2024-03-05,63,1,False
2024-03-06,65,2,False
2024-03-07,58,3,False
2024-03-08,64,4,False
2024-03-09,51,5,True
2024-03-10,46,6,True
2024-03-11,91,0,False
2024-03-12,67,1,False
2024-03-13,59,2,False
2024-03-14,67,3,False
2024-03-15,46,4,False
2024-03-16,53,5,True
2024-03-17,50,6,True
2024-03-18,58,0,False
2024-03-19,60,1,False
2024-03-20,49,2,False
2024-03-21,58,3,False
2024-03-22,61,4,False
2024-03-23,57,5,True
2024-03-24,47,6,True
2024-03-25,55,0,False
2024-03-26,57,1,False
2024-03-27,64,2,False
2024-03-28,61,3,False
2024-03-29,57,4,False
2024-03-30,52,5,True
2024-03-31,50,6,True
2024-04-01,64,0,False
2024-04-02,56,1,False
2024-04-03,58,2,False
2024-04-04,58,3,False
2024-04-05,52,4,False
2024-04-06,51,5,True
2024-04-07,51,6,True
2024-04-08,59,0,False
2024-04-09,58,1,False
2024-04-10,52,2,False
2024-04-11,57,3,False
2024-04-12,58,4,False
2024-04-13,45,5,True
2024-04-14,48,6,True
2024-04-15,61,0,False
2024-04-16,69,1,False
2024-04-17,60,2,False
2024-04-18,60,3,False
2024-04-19,89,4,False
2024-04-20,39,5,True
2024-04-21,49,6,True
2024-04-22,59,0,False
2024-04-23,71,1,False
2024-04-24,58,2,False
2024-04-25,60,3,False
2024-04-26,58,4,False
2024-04-27,43,5,True
2024-04-28,54,6,True
2024-04-29,62,0,False
2024-04-30,62,1,False
2024-05-01,54,2,False
2024-05-02,95,3,False
2024-05-03,51,4,False
2024-05-04,51,5,True
2024-05-05,59,6,True
2024-05-06,53,0,False
2024-05-07,55,1,False
2024-05-08,58,2,False
2024-05-09,55,3,False
2024-05-10,49,4,False
2024-05-11,47,5,True
2024-05-12,42,6,True
2024-05-13,59,0,False
2024-05-14,82,1,False
2024-05-15,64,2,False
2024-05-16,53,3,False
2024-05-17,55,4,False
